field_1,lng,lat,owner,title,tags,taken
26004,18.109200999999999,42.641502000000003,98336874@N04,"Rocky Landscape, Lapad Beach, Dubrovnik, Croatia.","dubrovnik;croatia;europe;city;village;town;outdoor;landscape;water;boat",Thu Oct 01 00:00:00 CEST 2015
26005,18.109200999999999,42.641502000000003,98336874@N04,"Waterfront, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26006,18.069944000000000,42.655630000000002,98336874@N04,Lapad Beach Dubrovnik,"lapadbeach;dubrovnik;croatia;outdoor;vehicle;boat;ship;yatch;clouds;sky;horizon;sea;mast;europe;adriaticsea;landscape;seascape;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26007,18.069944000000000,42.655630000000002,98336874@N04,"Sundown, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25976,18.109200999999999,42.641502000000003,98336874@N04,Velika I Mala Petka Dubrovnik,"dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25977,18.109200999999999,42.641502000000003,98336874@N04,"Coastal Landscape, Velika I Mala Petka, Dubrovnik, Croatia.","dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25978,18.069944000000000,42.655630000000002,98336874@N04,"Pine Cones, Velika I Mala Petka, Dubrovnik, Croatia.","dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town;pinecones;pineneedles;pine;conifer;tree;plant",Thu Oct 01 00:00:00 CEST 2015
25979,18.069944000000000,42.655630000000002,98336874@N04,Velika I Mala Petka Dubrovnik,"dubrovnik;croatia;velikaimalapetka;outside;outdoor;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26425,15.194444000000001,44.082500000000003,36496883@N08,20150925_171232,,Fri Sep 25 17:12:31 CEST 2015
26426,15.194444000000001,44.082500000000003,36496883@N08,20150925_171244,,Fri Sep 25 17:12:43 CEST 2015
26427,15.203333000000001,44.081944000000000,36496883@N08,20150925_171756,,Fri Sep 25 17:17:55 CEST 2015
26428,15.211111000000001,44.080275999999998,36496883@N08,20150925_172244,,Fri Sep 25 17:22:43 CEST 2015
26429,15.215000000000000,44.070557000000001,36496883@N08,20150925_173152,,Fri Sep 25 17:31:51 CEST 2015
26430,15.213055000000001,44.064999999999998,36496883@N08,20150925_173821,,Fri Sep 25 17:38:20 CEST 2015
26431,15.213055000000001,44.064999999999998,36496883@N08,20150925_173831,,Fri Sep 25 17:38:30 CEST 2015
26432,15.211111000000001,44.061109999999999,36496883@N08,20150925_175524,,Fri Sep 25 17:55:23 CEST 2015
26433,15.211111000000001,44.061109999999999,36496883@N08,20150925_175640,,Fri Sep 25 17:56:39 CEST 2015
26434,15.211387999999999,44.061385999999999,36496883@N08,20150925_180529,,Fri Sep 25 18:05:28 CEST 2015
26435,15.211111000000001,44.061385999999999,36496883@N08,20150925_181244,,Fri Sep 25 18:12:43 CEST 2015
26436,15.211111000000001,44.061385999999999,36496883@N08,20150925_181307,,Fri Sep 25 18:13:07 CEST 2015
25992,18.069944000000000,42.655630000000002,98336874@N04,Sunset Lapad Beach Dubrovnik,"lapadbeach;dubrovnik;croatia;europe;city;village;town;explore;nophotoshop;photoshopfreezone;earth",Thu Oct 01 00:00:00 CEST 2015
25993,18.109200999999999,42.641502000000003,98336874@N04,"Coastal Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
25994,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;sunset;sky;cloud;sea;dusk;night;evening;water;islands",Thu Oct 01 00:00:00 CEST 2015
25995,18.109200999999999,42.641502000000003,98336874@N04,"Water Landscape, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town",Thu Oct 01 00:00:00 CEST 2015
26441,15.211665999999999,44.062220000000003,36496883@N08,20150925_191938,,Fri Sep 25 19:19:37 CEST 2015
26442,15.211944000000001,44.062220000000003,36496883@N08,20150925_191957,,Fri Sep 25 19:19:56 CEST 2015
26443,15.207222000000000,44.069443000000000,36496883@N08,20150925_193035,,Fri Sep 25 19:30:35 CEST 2015
26444,15.207222000000000,44.069443000000000,36496883@N08,20150925_193045,,Fri Sep 25 19:30:44 CEST 2015
26445,15.203055000000001,44.073054999999997,36496883@N08,20150925_193356,,Fri Sep 25 19:33:55 CEST 2015
26446,15.199444000000000,44.076110000000000,36496883@N08,20150925_193651,,Fri Sep 25 19:36:51 CEST 2015
26447,15.189166000000000,44.081665000000001,36496883@N08,20150926_080408,,Sat Sep 26 08:04:07 CEST 2015
26448,15.189166000000000,44.081665000000001,36496883@N08,20150926_080414,,Sat Sep 26 08:04:13 CEST 2015
26449,15.189166000000000,44.081665000000001,36496883@N08,20150926_080416,,Sat Sep 26 08:04:15 CEST 2015
26450,15.189166000000000,44.081665000000001,36496883@N08,20150926_080423,,Sat Sep 26 08:04:22 CEST 2015
26451,15.189722000000000,44.081386999999999,36496883@N08,20150926_080516,,Sat Sep 26 08:05:15 CEST 2015
26452,15.189444000000000,44.081665000000001,36496883@N08,20150926_081630,,Sat Sep 26 08:16:29 CEST 2015
26421,15.192500000000001,44.082774999999998,36496883@N08,20150925_171142_1,,Fri Sep 25 17:11:42 CEST 2015
26422,15.192500000000001,44.082774999999998,36496883@N08,20150925_171144_6,,Fri Sep 25 17:11:44 CEST 2015
26423,15.192500000000001,44.082774999999998,36496883@N08,20150925_171148,,Fri Sep 25 17:11:47 CEST 2015
26424,15.193611000000001,44.082500000000003,36496883@N08,20150925_171152,,Fri Sep 25 17:11:51 CEST 2015
26044,18.069944000000000,42.655630000000002,98336874@N04,"Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;sunset;sunrise;sky;cloud;water;waterscape;silhouette;sea;shore;beach;landscape;serene",Thu Oct 01 00:00:00 CEST 2015
26045,18.069944000000000,42.655630000000002,98336874@N04,"Sunset, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;outdoor;water;boats;sea;ocean;sunset",Thu Oct 01 00:00:00 CEST 2015
26046,18.109200999999999,42.641502000000003,98336874@N04,"Banana Slide, Lapad Beach, Dubrovnik, Croatia.","lapadbeach;dubrovnik;croatia;europe;city;village;town;bananaslide;architecture;arch;outdoor;waterfront;water;bridge;waterslide",Thu Oct 01 00:00:00 CEST 2015
26047,18.109200999999999,42.641502000000003,98336874@N04,"Street Landscape, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town",Thu Oct 01 00:00:00 CEST 2015
26048,18.109200999999999,42.641502000000003,98336874@N04,"Church Interior, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town",Thu Oct 01 00:00:00 CEST 2015
26049,18.109200999999999,42.641502000000003,98336874@N04,"Building Interior, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town",Thu Oct 01 00:00:00 CEST 2015
26050,18.109200999999999,42.641502000000003,98336874@N04,"Church Interior, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town;architecture",Thu Oct 01 00:00:00 CEST 2015
26051,18.109200999999999,42.641502000000003,98336874@N04,"Unesco World Heritage, Site, Old Town Harbour, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;oldharbour;europe;building;architecture;waterscapes;village;town",Thu Oct 01 00:00:00 CEST 2015
26052,18.109200999999999,42.641502000000003,98336874@N04,"Unesco World Heritage Site, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town;road;outdoor;architecture;sidewalk;hccity",Thu Oct 01 00:00:00 CEST 2015
26053,18.109200999999999,42.641502000000003,98336874@N04,"Street Landscape, Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town;urbanlandscape;explore;nophotoshop;photoshopfreezone;earth",Thu Oct 01 00:00:00 CEST 2015
26054,18.109200999999999,42.641502000000003,98336874@N04,Old Town Harbour Dubrovnik,"oldtown;dubrovnik;croatia;city;oldharbour;europe;building;architecture;waterscapes;village;town",Thu Oct 01 00:00:00 CEST 2015
26055,18.109200999999999,42.641502000000003,98336874@N04,"Old Town Harbour, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;oldharbour;europe;building;architecture;waterscapes;village;town",Thu Oct 01 00:00:00 CEST 2015
26024,18.109200999999999,42.641502000000003,98336874@N04,"Unesco World Heritage Site, Street Landscape. Old Town, Dubrovnik, Croatia.","oldtown;dubrovnik;croatia;city;europe;village;town",Thu Oct 01 00:00:00 CEST 2015
26025,15.224143000000000,43.872852000000002,138571609@N07,Kornati,"kornati;excursions;mikado;kornatiexcursions;zadar;tours;wwwmikadotourscom;izletinakornate;ekskurzije;npkornati;wwwkornatiexcursionszadarcom",Sun Sep 27 13:30:42 CEST 2015
26026,15.964290999999999,43.803387000000001,22649002@N08,Haus,"nationalpark;haus;hr;dach;gebäude;krka;gradina;kroatien;dalmatien;šibenskokninskažupanija",Tue Sep 22 16:40:54 CEST 2015
